Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	Experiment	HLA_Risk_Class	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	data_type	flowcell_barcode	geo_loc_name	host	host_subject_id	instrument_name	lane	lat_lon	library_type	product_order	product_part_number	read_group_id	run_barcode	run_name	sex	source_name	tissue	treatment	work_request
RNA-Seq		50		SAMN00623023		INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES	public	SOLiD_native sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX072828		0	AB SOLiD 4 System	SINGLE	cDNA	TRANSCRIPTOMIC	STZ_diabetes_MII_oocytes	2012-01-20	3376	3075	Mus musculus	ABI_SOLID	2012-06-09	SRR260099	SRS211691	SRP007006	Transcriptome of STZ induced diabetic mice MII stage oocytes																				
RNA-Seq		50		SAMN00623025		INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES	public	SOLiD_native sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX072832		0	AB SOLiD 4 System	SINGLE	cDNA	TRANSCRIPTOMIC	STZ_control_MII_oocytes	2012-01-20	3684	3376	Mus musculus	ABI_SOLID	2012-06-09	SRR260105	SRS211693	SRP007006	Transcriptome of STZ control mice MII stage oocytes																				
RNA-Seq		50		SAMN00623026		INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES	public	SOLiD_native sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX072833		0	AB SOLiD 4 System	SINGLE	cDNA	TRANSCRIPTOMIC	NOD_diabetes_MII_oocytes	2012-01-20	2190	1967	Mus musculus	ABI_SOLID	2012-06-09	SRR260106	SRS211694	SRP007006	Transcriptome of NOD diabetic mice MII stage oocytes																				
RNA-Seq		50		SAMN00623027		INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES	public	sra srf	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX072834		0	AB SOLiD 4 System	SINGLE	cDNA	TRANSCRIPTOMIC	NOD_control_MII_oocytes	2014-05-30	2153	1831	Mus musculus	ABI_SOLID	2012-06-09	SRR260412	SRS211695	SRP007006	Transcriptome of NOD control mice MII stage oocytes																				
AMPLICON		509		SAMN00989396		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144729		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	3	2	gut metagenome	LS454	2012-11-15	SRR491389	SRS311270	SRP012545	ZCTRLA																				
AMPLICON		506		SAMN00989397		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144730		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	1	0	gut metagenome	LS454	2012-11-15	SRR491390	SRS311271	SRP012545	ZCTRLB																				
AMPLICON		509		SAMN00989398		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144731		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	2	1	gut metagenome	LS454	2012-11-15	SRR491391	SRS311272	SRP012545	ZCTRLC																				
AMPLICON		506		SAMN00989399		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144732		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	2	1	gut metagenome	LS454	2012-11-15	SRR491392	SRS311273	SRP012545	ZKRVA																				
AMPLICON		507		SAMN00989400		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144733		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	1	1	gut metagenome	LS454	2012-11-15	SRR491393	SRS311274	SRP012545	ZKRVB																				
AMPLICON		511		SAMN00989401		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144734		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	1	1	gut metagenome	LS454	2012-11-15	SRR491394	SRS311275	SRP012545	ZKRVC																				
AMPLICON		511		SAMN00989402		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144735		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	1	1	gut metagenome	LS454	2012-11-15	SRR491395	SRS311276	SRP012545	ZKRVD																				
AMPLICON		508		SAMN00989403		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144736		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	2	1	gut metagenome	LS454	2012-11-15	SRR491396	SRS311277	SRP012545	ZKSA																				
AMPLICON		508		SAMN00989404		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144737		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	2	1	gut metagenome	LS454	2012-11-15	SRR491397	SRS311278	SRP012545	ZKSB																				
AMPLICON		508		SAMN00989405		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144738		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	3	2	gut metagenome	LS454	2012-11-15	SRR491398	SRS311279	SRP012545	ZKSC																				
AMPLICON		496		SAMN00989406		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144739		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	3	2	gut metagenome	LS454	2012-11-15	SRR491399	SRS311280	SRP012545	ZCTRLD																				
AMPLICON		492		SAMN00989407		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144740		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	4	2	gut metagenome	LS454	2012-11-15	SRR491400	SRS311281	SRP012545	ZCTRLE																				
AMPLICON		492		SAMN00989408		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144741		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	5	3	gut metagenome	LS454	2012-11-15	SRR491401	SRS311282	SRP012545	ZCTRLF																				
AMPLICON		491		SAMN00989409		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144742		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	3	2	gut metagenome	LS454	2012-11-15	SRR491402	SRS311283	SRP012545	ZCTRLG																				
AMPLICON		497		SAMN00989410		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144743		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	3	2	gut metagenome	LS454	2012-11-15	SRR491403	SRS311284	SRP012545	ZKRVE																				
AMPLICON		495		SAMN00989411		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144744		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	3	1	gut metagenome	LS454	2012-11-15	SRR491404	SRS311285	SRP012545	ZKRVF																				
AMPLICON		494		SAMN00989412		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144745		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	6	3	gut metagenome	LS454	2012-11-15	SRR491405	SRS311286	SRP012545	ZKRVG																				
AMPLICON		494		SAMN00989413		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144746		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	6	4	gut metagenome	LS454	2012-11-15	SRR491406	SRS311287	SRP012545	ZKSD																				
AMPLICON		498		SAMN00989414		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144747		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	2	1	gut metagenome	LS454	2012-11-15	SRR491407	SRS311288	SRP012545	ZKSE																				
AMPLICON		494		SAMN00989415		UNIVERSITY OF COLORADO SCHOOL OF MEDICINE	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va		SRX144748		0	454 GS Junior	SINGLE	PCR	METAGENOMIC	rat gut microbiota	2012-08-12	4	2	gut metagenome	LS454	2012-11-15	SRR491408	SRS311289	SRP012545	ZKSF																				
